0.0000,0.0000
0.1000,0.0017
0.1999,0.0067
0.2995,0.0150
0.3988,0.0266
0.4977,0.0416
0.5960,0.0598
0.6937,0.0813
0.7906,0.1060
0.8866,0.1340
0.9816,0.1651
1.0755,0.1994
1.1683,0.2368
1.2597,0.2773
1.3497,0.3208
1.4383,0.3673
1.5252,0.4166
1.6105,0.4689
1.6939,0.5240
1.7755,0.5818
1.8551,0.6423
1.9327,0.7055
2.0080,0.7712
2.0812,0.8393
2.1521,0.9099
2.2205,0.9828
2.2865,1.0579
2.3500,1.1352
2.4108,1.2145
2.4690,1.2959
2.5244,1.3791
2.5770,1.4641
2.6268,1.5509
2.6736,1.6392
2.7175,1.7291
2.7583,1.8203
2.7961,1.9129
2.8308,2.0067
2.8623,2.1016
2.8907,2.1975
2.9158,2.2943
2.9377,2.3919
2.9563,2.4901
2.9717,2.5889
2.9838,2.6882
2.9925,2.7878
2.9979,2.8876
3.0000,2.9876
3.0000,3.0876
3.0000,3.1876
3.0000,3.2876
3.0000,3.3876
3.0000,3.4876
3.0000,3.5876
3.0000,3.6876
3.0000,3.7876
3.0000,3.8876
3.0000,3.9876
3.0000,4.0876
3.0000,4.1876
3.0000,4.2876
3.0000,4.3876
3.0000,4.4876
