0.0000,-0.0000
0.1006,0.0000
0.2093,0.0000
0.3192,-0.0001
0.4281,-0.0139
0.5313,-0.0511
0.6240,-0.1100
0.7016,-0.1877
0.7591,-0.2695
0.8209,-0.3605
0.8771,-0.4432
0.9333,-0.5260
0.9895,-0.6087
1.0513,-0.6997
1.1131,-0.7907
1.1749,-0.8816
1.2367,-0.9726
1.2986,-1.0636
1.3604,-1.1546
1.4166,-1.2373
1.4728,-1.3200
1.5346,-1.4110
1.5908,-1.4937
1.6499,-1.5863
1.6901,-1.6885
1.7070,-1.7969
1.6998,-1.9065
1.6690,-2.0118
1.6158,-2.1079
1.5430,-2.1900
1.4540,-2.2543
1.3531,-2.2976
1.2452,-2.3179
1.1355,-2.3141
1.0370,-2.2953
0.9273,-2.2928
0.8196,-2.3142
0.7192,-2.3587
0.6310,-2.4239
0.5591,-2.5069
0.5070,-2.6036
0.4773,-2.7092
0.4713,-2.8188
0.4895,-2.9271
0.5308,-3.0288
0.5933,-3.1191
0.6740,-3.1935
0.7633,-3.2570
0.8390,-3.3365
0.8955,-3.4306
0.9301,-3.5348
0.9412,-3.6440
0.9281,-3.7530
0.8916,-3.8565
0.8334,-3.9496
0.7562,-4.0277
0.6639,-4.0871
0.5608,-4.1249
0.4520,-4.1393
0.3426,-4.1296
0.2380,-4.0962
0.1432,-4.0409
0.0628,-3.9662
0.0006,-3.8757
-0.0404,-3.7739
-0.0581,-3.6655
-0.0518,-3.5559
-0.0217,-3.4504
0.0307,-3.3539
0.1029,-3.2712
0.1914,-3.2063
0.2920,-3.1622
0.3997,-3.1411
0.5094,-3.1441
0.6159,-3.1709
0.7151,-3.2184
0.8125,-3.2695
0.9099,-3.3205
1.0073,-3.3716
1.1048,-3.4227
1.2022,-3.4738
1.2996,-3.5248
1.3971,-3.5759
1.4945,-3.6270
1.5919,-3.6780
1.6893,-3.7291
1.7868,-3.7802
1.8842,-3.8313
1.9816,-3.8823
2.0790,-3.9334
2.1765,-3.9845
2.2739,-4.0355
2.3713,-4.0866
2.4687,-4.1377
2.5662,-4.1888
2.6636,-4.2398
2.7610,-4.2909
2.8584,-4.3420
2.9559,-4.3930
3.0533,-4.4441
3.1507,-4.4952
3.2481,-4.5463
3.3456,-4.5973
3.4430,-4.6484
3.5404,-4.6995
3.6378,-4.7505
3.7353,-4.8016
3.8327,-4.8527
3.9301,-4.9037
4.0275,-4.9548
4.1250,-5.0059
4.2224,-5.0570
4.3198,-5.1080
4.4172,-5.1591
4.5147,-5.2102
4.6121,-5.2612
4.7095,-5.3123
